1,Dog,Merlín,2020,True,Es un animal muy amigable,Otro,16,True
2,Dog,Nemo,2018,True,Necesita cuidados de salud menores pero importantes,BullDog,24,False
3,Dog,Vader,2011,True,Es un animal muy amigable,Golden,19,False
4,Dog,Akira,2014,True,Es un animal muy amigable,BullDog,20,True
5,Dog,Rocco,2016,True,Necesita cuidados de salud menores pero importantes,Golden,26,False
6,Cat,Verdell,2011,True,Es un animal muy amigable,Angora,9,True
7,Dog,Rocco,2014,False,Tiene problemas graves de comportamiento,Otro,27,True
8,Cat,Obi Wan,2019,True,Tiene una conducta ejemplar,Persa,9,True
9,Cat,Reina,2014,False,Tiene problemas graves de comportamiento,Persa,28,True
10,Dog,Golfo,2020,False,Aun necesita cuidados especializados urgentes,Labrador,16,False
11,Cat,Potter,2022,False,Aun necesita cuidados especializados urgentes,Siames,17,False
12,Cat,Golfo,2009,False,Tiene problemas graves de comportamiento,Otro,25,True
13,Cat,Obi Wan,2011,True,Es un animal muy amigable,Persa,7,True
14,Cat,Frank,2017,False,Tiene problemas graves de comportamiento,Persa,13,True
15,Dog,Frank,2013,False,Aun necesita cuidados especializados urgentes,Otro,15,False
16,Cat,Jack,2018,True,Necesita cuidados de salud menores pero importantes,Angora,20,False
17,Dog,Brian,2022,True,Necesita cuidados de salud menores pero importantes,Labrador,5,False
18,Dog,Nana,2022,True,Necesita cuidados de salud menores pero importantes,Labrador,7,False
19,Cat,Vader,2011,True,Necesita cuidados de salud menores pero importantes,Siames,9,False
20,Dog,Merlín,2016,True,Tiene una conducta ejemplar,Labrador,23,True
21,Dog,Vader,2012,False,Aun necesita cuidados especializados urgentes,Otro,22,False
22,Dog,Conan,2011,True,Es un animal muy amigable,Labrador,12,True
23,Cat,Thanos,2007,False,Tiene problemas graves de comportamiento,Siames,22,True
24,Dog,Frank,2014,False,Tiene problemas graves de comportamiento,Labrador,27,True
25,Cat,Rei,2012,False,Aun necesita cuidados especializados urgentes,Persa,23,False
26,Dog,Rocco,2022,False,Tiene problemas graves de comportamiento,Golden,6,True
27,Dog,Bolt,2013,False,Aun necesita cuidados especializados urgentes,BullDog,9,False
28,Cat,Rocco,2017,True,Necesita cuidados de salud menores pero importantes,Siames,27,False
29,Dog,Uggie,2010,False,Tiene problemas graves de comportamiento,Labrador,30,True
30,Cat,Dumbo,2011,True,Necesita cuidados de salud menores pero importantes,Otro,20,False
31,Cat,Frodo,2014,False,Aun necesita cuidados especializados urgentes,Otro,13,False
32,Cat,Hulk,2013,True,Necesita cuidados de salud menores pero importantes,Otro,6,False
33,Dog,Bolt,2018,True,Tiene una conducta ejemplar,Golden,17,True
34,Dog,Golfo,2017,True,Necesita cuidados de salud menores pero importantes,Otro,26,False
35,Dog,Reina,2009,True,Tiene una conducta ejemplar,Labrador,27,True
36,Dog,Luna,2012,True,Necesita cuidados de salud menores pero importantes,Otro,12,False
37,Cat,Beethoven,2021,True,Es un animal muy amigable,Siames,16,True
38,Dog,Thor,2016,False,Tiene problemas graves de comportamiento,Labrador,15,True
39,Dog,Potter,2020,False,Aun necesita cuidados especializados urgentes,BullDog,30,False
40,Cat,Baloo,2015,False,Aun necesita cuidados especializados urgentes,Siames,9,False
41,Dog,Dante,2010,True,Tiene una conducta ejemplar,Otro,9,True
42,Cat,Golfo,2021,True,Necesita cuidados de salud menores pero importantes,Siames,20,False
43,Dog,Potter,2018,False,Aun necesita cuidados especializados urgentes,Golden,25,False
44,Dog,Baloo,2022,True,Es un animal muy amigable,Labrador,18,True
45,Cat,Nana,2020,False,Aun necesita cuidados especializados urgentes,Otro,13,False
46,Dog,Beethoven,2015,True,Tiene una conducta ejemplar,Labrador,12,True
47,Dog,Thor,2020,False,Aun necesita cuidados especializados urgentes,Otro,27,False
48,Dog,Thanos,2022,False,Tiene problemas graves de comportamiento,Otro,6,True
49,Cat,Dante,2021,True,Tiene una conducta ejemplar,Otro,22,True
50,Cat,Rocky,2011,True,Necesita cuidados de salud menores pero importantes,Persa,17,False
51,Cat,Jack,2019,False,Aun necesita cuidados especializados urgentes,Siames,24,False
52,Cat,Hulk,2009,True,Necesita cuidados de salud menores pero importantes,Angora,11,False
53,Cat,Molly,2016,True,Necesita cuidados de salud menores pero importantes,Angora,26,False
54,Cat,Penny,2008,True,Tiene una conducta ejemplar,Otro,21,True
55,Dog,Dumbo,2022,False,Aun necesita cuidados especializados urgentes,Otro,8,False
56,Cat,Thor,2007,True,Tiene una conducta ejemplar,Persa,16,True
57,Dog,Thanos,2007,True,Tiene una conducta ejemplar,Otro,15,True
58,Dog,Vader,2010,False,Tiene problemas graves de comportamiento,Golden,20,True
59,Cat,Totó,2010,True,Necesita cuidados de salud menores pero importantes,Otro,18,False
60,Dog,Baloo,2010,True,Es un animal muy amigable,Otro,8,True
61,Dog,Vader,2017,False,Aun necesita cuidados especializados urgentes,BullDog,15,False
62,Cat,Golfo,2013,False,Aun necesita cuidados especializados urgentes,Persa,30,False
